Index,FEN,Moves
22841,r4r2/p1p3pp/3p2k1/3P4/3Q2RP/P7/KPP3q1/8 b - - 10 42,g2g4 d4g4 g6f7 g4e6
22842,6k1/pQ4p1/4p2r/6r1/7q/2P5/P5PP/R5RK w - - 1 31,h2h3 h4h3 g2h3 h6h3
22843,2kr3r/p1pn2b1/1p6/3QpBPq/2P2B2/P3PP2/1P6/2R2RK1 b - - 2 25,e5f4 d5a8
22844,1r6/3bb2p/1P1pk1p1/4pp2/1BN5/3n1P2/P5PP/1R3RK1 w - - 2 30,f1d1 d3b4 b1b4 d6d5
22845,5rk1/p3rbp1/6q1/3p4/6R1/5Q1P/PP4P1/5R1K b - - 1 31,g6c2 f3f6 c2h7 f6e7
22846,8/8/2k1p2N/p3Kp1P/1p6/1P6/P7/2n5 b - - 0 45,c1a2 h6f5 e6f5 h5h6
22847,r3r1k1/p1p2pp1/1bQ1b3/4P3/6q1/B1P2N2/P4PP1/R2R2K1 w - - 0 24,a3c5 g4c4 c6a8 e8a8
22848,4r1k1/5pp1/7p/1p1q4/8/P1Q3P1/1P3P1P/2R3K1 w - - 0 34,c3c5 e8e1 c1e1 d5c5
22849,5rk1/2p3p1/p1pp3p/4p3/4N2b/3PBr2/PPP1QP1q/R3K1R1 w - - 14 25,e1d2 h4f2 e4f2 f3f2
22850,1rb2rk1/4qppp/p4P2/1p5Q/4P3/1P6/1PP3PP/3R1R1K b - - 0 23,e7e4 f6g7 g8g7 h5g5 e4g6 g5e5
22851,8/pp1kb3/b3p3/3pP1P1/P4Q2/3qP3/3N2P1/3RK3 w - - 3 30,f4f2 d5d4 e3d4 e7g5 g2g3 d7e8
22852,r4r2/5pkp/p3pnp1/1p6/2pP3q/2P1Q1N1/PPB1R3/1R4K1 w - - 0 26,e2h2 h4h2 g1h2 f6g4 h2g1 g4e3
22853,r5k1/2p2p2/3p1PpR/1p2p1P1/4P1p1/2PPK3/2r5/7R b - - 1 31,a8a2 h6h8
22854,7k/6p1/1R2p3/4P3/1P3n2/5N1P/1r4PK/8 w - - 3 32,f3g5 b2g2 h2h1 g2g5
22855,1br3k1/p4pp1/1p5p/8/1P1q4/P4NP1/4QP1P/4R1K1 b - - 1 30,d4c4 e2c4 c8c4 e1e8 g8h7 e8b8
22856,4rQ2/7k/bp2p1p1/p2p4/5nn1/1P6/P5BP/5NK1 w - - 0 41,f8e8 f4e2 g1h1 g4f2
22857,2b5/7p/8/p1kp2PP/P1pN4/2K2Nb1/1P6/8 b - - 0 47,c8d7 g5g6 h7g6 h5h6
22858,6k1/5p1p/4n1p1/4R3/2K1p3/6PP/8/8 b - - 1 43,e6g5 e5g5 f7f5 g3g4
22859,8/5B2/3k2P1/1Kb5/3p4/3R4/8/1r6 w - - 3 61,b5c4 b1b4
22860,r4rk1/2p2pp1/1b1p1n2/pp2pq2/3P1n1p/P1P1BQ1P/BP3PPN/R3R1K1 b - - 4 20,e5e4 f3f4 f5f4 e3f4
22861,2k4r/5R2/pq2pQ2/1pb1n3/8/2P3P1/PP3P2/3R2K1 b - - 4 27,c5f2 f6f2 b6f2 f7f2
22862,6k1/3n1pp1/p3p2p/2q1P3/1pN2P2/1P4PP/P2Q3K/8 b - - 4 31,d7b6 d2d8 g8h7 d8b6 c5b6 c4b6
22863,1r6/8/3N1p2/2k1p1pp/4P3/3K2P1/1p4PP/1R6 w - - 0 42,d6c4 b8b3 d3c2 c5c4 b1b2 b3b2
22864,1q4k1/4rpp1/7p/2NQ4/1P6/5P1P/6P1/6K1 b - - 0 39,b8b4 d5d8 g8h7 d8e7
22865,7R/kpp1qp2/1n1p1n2/1Q1Pp3/4P3/1P3B2/PKP2P2/6r1 b - - 0 27,f6d7 b5a5
22866,3qr1k1/1b4pp/4p1p1/p1rpN3/P4P2/1P1Q2P1/7P/2R2RK1 b - - 1 26,d8b6 e5d7 c5c3 d7b6 c3d3 c1c7 d3b3 c7b7
22867,8/8/R7/1p4pk/1P2n3/P2b3P/7K/8 b - - 2 49,h5h4 a6h6
22868,1r1k2r1/pbpp4/4p2p/5Pq1/1Q6/1B6/P1P2RPP/6RK w - - 1 27,f5e6 b7g2 f2g2 b8b4 g2g5 g8g5
22869,8/2N5/p5k1/2p5/1pK3P1/6nP/1P6/8 b - - 0 43,g3e4 c7a6 e4f2 a6c5 f2h3 c5e4
22870,k7/1pp5/4p3/5p2/2PQ2P1/1P3K2/P3RP1q/6r1 w - - 2 40,e2e6 h2h1 f3e3 g1e1 e3f4 e1e6
22871,8/1r3kp1/RP1p4/3Pb2p/2P5/3K4/8/8 b - - 0 54,h5h4 a6a7 b7a7 b6a7 h4h3 a7a8q
22872,4r3/p4kpp/1p2bp2/5P2/4R3/B2r2P1/P6P/2K1R3 b - - 0 28,e6d7 e4e8 d7e8 e1e7 f7f8 e7e3 d3a3 e3a3
22873,r4rk1/1pp2pp1/3p1P1p/p6Q/P5P1/1B3b1P/2P2K2/2q5 b - - 1 22,g7g6 h5g6 g8h8 g6g7
22874,8/5pk1/p5p1/7p/pPq2P1P/K2R2P1/8/3R4 w - - 0 39,a3a4 c4a2 d3a3 a2c2
22875,3r1k2/6p1/p1P1Pp2/4b3/2B5/P1NKB3/7r/5R2 w - - 1 33,d3e4 h2h4 e3f4 d8d4
22876,3r2n1/4kp2/Rb4q1/1p2p1P1/2p1P3/2PP1PQ1/3K4/2N5 b - - 8 38,f7f6 a6b6 g6g5 g3g5
22877,2r3rk/1R4p1/1p3n1p/pP1n1P2/P2p4/5NQ1/6PP/6K1 w - - 16 35,f3e5 c8c1 g1f2 f6e4 f2f3 e4g3
22878,4r1k1/6p1/7p/1p6/8/2n2N2/5PPP/R5K1 w - - 0 27,a1c1 c3e2 g1h1 e2c1
22879,1R6/5p1k/2p3pp/pQ1p4/P7/q3P2P/5PPK/2r5 w - - 0 38,b5a5 a3d6 f2f4 d6b8
22880,5r2/8/3k4/B7/5N2/1r3PKP/6P1/8 b - - 0 40,d6c5 f4e6 c5d6 e6f8
22881,4k3/8/P2p2p1/2pP3p/2P2q2/1P5P/5nP1/1Q4K1 b - - 4 34,f4g3 b1e1 e8d8 e1f2
22882,5bk1/p4p2/1qp3p1/4p2p/2p1P2P/2P2PP1/PP1Q2K1/3N4 w - - 4 29,d1e3 f8h6 e3c4 h6d2 c4b6 a7b6
22883,2r1r1k1/p3qppp/1p3b2/4p3/5BR1/2P2Q2/PP3PPP/3R2K1 w - - 2 21,d1e1 h7h5 g4g3 e5f4
22884,1r4k1/p1bq1p1p/r7/3p4/3P3Q/P1R1P3/5PPP/2R3K1 b - - 6 26,c7d8 h4g3 a6g6 g3b8
22885,4r1k1/2p1rpp1/p2p3p/1p1P1Pnq/4PQ1P/2P1RbB1/P4P1K/2RB4 b - - 4 29,e7e4 d1f3 g5f3 f4f3 h5f3 e3f3
22886,4r1k1/1pp2ppp/p2bqn2/6B1/2P5/2N2Q1P/PP3PP1/3R2K1 w - - 3 23,g5f6 e6e1 d1e1 e8e1
22887,5rk1/p4pp1/4p2p/n2pP1N1/q1RP4/r7/P4PPP/1QR3K1 b - - 1 24,a5c4 b1h7
22888,3r3k/2q3pp/1R1p1r2/1Qp1N3/1p2b3/7P/1P3PP1/3R2K1 b - - 0 31,d6e5 d1d8 c7d8 b6b8 f6f8 b8d8
22889,5k2/5r2/R7/pr3P1R/8/2PK4/8/8 w - - 2 36,f5f6 f7d7 d3c2 b5h5
22890,5rk1/ppp2p2/7Q/3rq1p1/8/P5R1/6PP/5R1K b - - 0 26,d5d6 g3g5 e5g5 h6g5
22891,6k1/5q1p/8/1P1r4/p1QP1P2/P6P/1B6/6K1 w - - 0 36,b5b6 d5g5 f4g5 f7c4
22892,6k1/4b3/1PR3p1/3p1q2/3Pp3/2P1Ppp1/5P1P/Q6K w - - 0 42,f2g3 f3f2 h1g2 f5f3 g2f1 f3h1
22893,4r1k1/ppR4p/6p1/4Pp2/8/5K2/1r6/3R4 b - - 5 42,e8e5 d1d8 e5e8 d8e8
22894,3r3k/1pp3p1/1p5p/1P2P3/2Pp4/P2Q2Pq/7P/5RK1 b - - 0 29,h8g8 d3g6 h3d7 e5e6
22895,3r4/p2rkp1p/2p3p1/3n4/2R2P2/6P1/P1P4P/2K2B1R b - - 0 22,d5e3 c4e4 e7f8 e4e3
22896,k1Rr4/pp3p1p/3r4/4B3/8/P7/5PPP/2R3K1 b - - 12 31,d8c8 c1c8
22897,3r1rk1/1p1q1ppp/pQ6/8/3P1B2/6Pb/PP3P1P/R3R1K1 w - - 1 20,a1d1 d7d5 f2f3 d5f3
22898,4rr1k/pp5P/2nR2p1/2p3q1/4PP2/8/PPPQ4/2K2R2 b - - 0 29,g5h5 d2g2 c6e5 f4e5
22899,7R/8/4p3/4P3/4kPK1/3prN1P/1b4P1/8 b - - 1 41,e3f3 g2f3 e4e3 h8d8
22900,5rk1/p5p1/4p3/4R2p/3PP1K1/1QP3P1/7P/5q2 w - - 0 43,e5h5 f1e2 g4h4 e2h2 h4g4 h2e2
22901,r1r5/ppp2RB1/1bnk4/8/2B1n3/2P5/PP1N2PP/R5K1 w - - 9 23,g1h1 e4g3 h2g3 c8h8 g7h8 a8h8 f7h7 h8h7
22902,k1r5/p1r2q1p/Pp2p3/1B1pQ3/1P1Pbp2/2P3RP/6PK/2R5 w - - 0 36,g3g7 f7g7 e5g7 c7g7
22903,1r1k4/q2N4/2p2pbB/8/npPP3P/pQ5B/P4P2/K3R3 w - - 4 38,d7b8 a7d4 b3c3 d4c3
22904,6r1/5p2/Q1pq1k1p/1p3p1B/2pP3P/4P1r1/PP3P2/2R1R1K1 w - - 0 34,f2g3 d6g3 g1f1 g3g2
22905,1r3rk1/1p1q1pp1/p2p3p/2p2P2/4N1Q1/PP6/1P1b1PPP/R3R1K1 b - - 2 20,d2e1 e4f6 g8h8 f6d7
22906,5r1k/4bp1p/2n2p1Q/p6N/2b5/P1PR3P/1q3PP1/5RK1 b - - 2 25,c4d3 h6g7
22907,6k1/5ppp/8/1p2Pb2/3p1P2/3P1Q2/q2R2PP/5K2 b - - 0 29,a2d2 f3a8 f5c8 a8c8
22908,8/3r2k1/6R1/4Pp2/p2r4/8/5KR1/8 b - - 0 53,g7f8 g6g8 f8e7 g2g7 e7e6 g8e8
22909,4q1kn/4p3/3p1pNQ/p1p2P2/1pP1P3/3P4/P3K3/8 b - - 3 37,h8g6 f5g6 e8f7 g6f7
22910,4r2r/1pq2pk1/p5p1/6Qp/6b1/2PB1P2/P3R1Pb/1RB4K w - - 2 25,f3g4 e8e2 d3e2 h5g4
22911,8/p7/1p1kppp1/1P5p/P2PK1P1/7P/5P2/8 b - - 0 39,f6f5 g4f5 g6f5 e4f4 d6d5 f4g5 d5d4 g5h5
22912,6r1/p3ppk1/3p4/3QbP1p/2B4q/1P5P/P5P1/5R1K b - - 2 35,h4g3 d5f7 g7h6 f7e6
22913,3N2k1/p4ppp/2p2n2/1p1p2rq/4b3/P1P1R2P/1P1Q1PP1/5R1K w - - 1 29,e3g3 g5g3 f2g3 h5h3
22914,1k1r1b2/pp4p1/8/2pPpQ2/2P3n1/2N2Nqr/PP4P1/R1B1R1K1 w - - 0 22,c1g5 g3f2
22915,4r1r1/1b1q1p1k/pp4p1/2p3Qp/2P1PP2/6NP/PBP3P1/5RK1 b - - 2 26,b7e4 g3h5 d7d4 b2d4
22916,3r2k1/pp4pp/4pp2/3b2N1/4q3/P1p1P3/2P2QPP/5RK1 b - - 3 23,f6g5 f2f7 g8h8 f7f8 d8f8 f1f8
22917,r2q1rk1/6pp/1p1npp2/pPbb4/Pn6/2B1PN2/1Q1N1PPP/RB3RK1 b - - 5 20,d6c4 d2c4 d5c4 c3b4 c4f1 b4c5
22918,7r/3pkpp1/2n5/1p2P1N1/1b3q1p/1B1R2nP/2Q3P1/2R3K1 b - - 1 29,f4g5 d3d7 e7e8 b3f7 e8f8 c1a1 g7g6 c2c6
22919,r1n3k1/1pp3p1/3p3p/pPPPp1bP/2B1P1P1/2N5/P7/R4K2 b - - 0 27,d6c5 d5d6 g8f8 d6c7 c8b6 c4e6
22920,2kr2r1/1pp2p1p/p2q1np1/Q7/3pPp2/1B1P1P2/PPP3RP/2K3R1 b - - 1 20,g8f8 e4e5 d6c6 e5f6
22921,3r3r/2R1bppp/1p2qn2/2kp1N2/8/2P4P/1P3PP1/5RK1 b - - 7 25,c5b5 f5d4 b5a6 f1a1 e7a3 a1a3
22922,r3r3/pp3k2/1np2p1p/3p1PpP/1P1P1bP1/P1NB4/5P2/R3R1K1 w - - 3 25,b4b5 e8e1 a1e1 f4d2 e1e6 d2c3
22923,4r1k1/5p1p/2P5/8/1Q6/1P2p2P/3r2P1/7K w - - 5 37,b4g4 g8h8 g4f4 d2d5 f4f7 d5e5
22924,8/r6r/7p/P4Q1K/1k4P1/8/8/8 w - - 3 52,h5g6 a7g7 g6h5 g7g5 f5g5 h6g5
22925,3r1rk1/1pq2ppp/p3pn2/8/3N4/2PQ3R/PP4PP/5R1K b - - 5 23,h7h6 f1f6 g7f6 h3g3 c7g3 d3g3
22926,1rb2k2/1p3p2/p2p3n/3P4/P2prP2/6R1/1P2BKN1/4R3 b - - 2 35,c8d7 e1h1 b8e8 e2f3
22927,3r2k1/p1q1b1p1/2ppb1rp/4p3/8/1P2N2P/PBPRQPP1/5RK1 b - - 7 24,e6h3 e2h5 g6g5 h5h3
22928,r3k2r/pp1q1ppp/6n1/5R2/1b1pN1Q1/1P2B3/P5PP/3R2K1 b kq - 2 22,e8g8 d1d4 d7e6 d4b4
22929,8/6p1/N3k3/P6p/3K2n1/8/8/8 b - - 0 53,e6f5 a6b4 g4f6 a5a6 f6e8 b4d5
22930,r6r/1ppknQ2/p7/P3P2p/1P2P3/2P3qp/6P1/3R1R1K b - - 1 27,d7c8 f7f8 h8f8 f1f8
22931,r1r3k1/2q1bpp1/3p3p/1R1Pp3/p1P1Nn2/2Q5/P2N1PPP/1R4K1 w - - 8 25,g2g3 f4e2 g1g2 e2c3
22932,4r1k1/3Rp2p/p2pNbpB/1qpP4/6P1/4Q2P/5PK1/8 w - - 2 37,e6c7 b5d7 c7e8 d7e8 e3e6 g8h8
22933,5rk1/p1p1nrp1/7R/4p2P/PpNpP3/1P1P4/2P5/2K3R1 w - - 1 31,c4e5 f7f1 g1f1 f8f1 c1d2 g7h6
22934,8/pKP3R1/4p3/1k2N2P/2r5/8/2r5/8 b - - 2 44,c4c5 e5f3 b5b4 h5h6
22935,r4rk1/p1p2p2/2p4p/4Pb2/Q1B2ppP/2P4n/PP4P1/R1B1R1qK w - - 7 21,e1g1 h3f2 h1h2 g4g3
22936,6k1/6p1/p1pBR1pp/3p4/2pP4/2P5/Pr3PPP/6K1 w - - 0 23,a2a3 b2b1 e6e1 b1e1
22937,4B3/8/6p1/5p1k/P3pP1P/7K/5b2/8 b - - 0 51,f2h4 e8g6 h5g6 h3h4 g6f6 a4a5 e4e3 h4g3 e3e2 g3f2 e2e1q f2e1
22938,2r3k1/p4ppp/1p2p3/4R3/2NrP3/PPn2PP1/6K1/2R5 b - - 2 31,c3a2 c1c2 d4d3 c2a2
22939,8/5p2/8/4k3/1K5p/8/8/6N1 w - - 0 71,b4c4 e5e4 c4c5 e4e3 g1h3 e3f3
22940,4R2Q/2p2k2/P2b1r2/5pqp/8/r5N1/2P2PPP/5RK1 w - - 9 32,g3h5 f6h6
22941,8/4k3/6p1/5p2/3R4/5PKP/2rp2P1/8 w - - 0 39,g3f4 c2c4 d4c4 d2d1q
22942,2r3k1/5Qpp/4p2q/8/8/2rB1R2/PKP2P1P/8 b - - 5 29,g8h8 f7f8 c8f8 f3f8
22943,r3r1k1/4qpb1/2B1p1bp/p1n1P1p1/1pPP4/1P4P1/PB5P/2RQR2K w - - 0 25,c6a8 c5d3 d1f3 g5g4 f3g2 d3b2
22944,2r3k1/pp3rpp/q7/3B2N1/2nP2b1/1QP3P1/P3P2P/4KR2 b - - 0 21,c4e3 d5f7 g8h8 f1f2
22945,b3r1k1/6p1/p1P1p1qp/2BpP1b1/P2N1p2/2P4Q/5PPP/1r1R2K1 w - - 0 32,d1b1 g6b1
22946,1r6/2nk2p1/p2N1p2/1pP2P2/2pP2P1/P2b2K1/1P6/4R3 b - - 0 40,c7e8 d6e8 b8e8 c5c6 d7d8 c6c7 d8c7 e1e8
22947,8/7p/7k/p4Q2/1p4P1/1P6/q4PK1/8 b - - 0 38,a2b3 f5f6
22948,3q1rk1/4bp1p/p3rp2/3p3P/1PB1PP2/4Q3/P5P1/R3K2R w KQ - 0 23,c4d5 d8d5 e4d5 e6e3
22949,8/Q4pkp/1pq3p1/8/8/1P4PP/P3RP1K/3r4 w - - 3 37,a7e7 d1h1
22950,6k1/5pp1/3q3p/1P6/3p2n1/3P1N2/5P2/4Q1K1 b - - 0 30,d6f6 e1e8 g8h7 e8e4 f6g6 e4g6 h7g6 b5b6
22951,2kr3r/1bpp3p/1q3pp1/R7/1n1Np3/1P2P3/1QPP1PPP/R5K1 b - - 2 23,b4c6 a5b5 c6d4 b5b6
22952,6k1/1p2b1pp/2p5/2P2p2/1PR1nP2/5NP1/1r3PKP/5B2 w - - 2 30,f1d3 b2f2 g2h3 f2f3 d3e4 f5e4
22953,2k5/6R1/5K2/pr4p1/6P1/8/8/8 w - - 6 45,g7g5 b5g5 f6g5 a5a4
22954,5rk1/1pp3p1/p2p1n1p/3Ppr2/1PP1Nq2/3Q3P/P1R2PP1/5RK1 w - - 1 22,g2g3 f4e4 d3e4 f6e4
22955,7r/p1p1kpp1/3bpq1p/8/Q3B1nP/2PPB3/Pr3PP1/R4RK1 b - - 3 20,g4e3 f2e3 f6h4 f1f7
22956,6k1/2r1bp2/1R4p1/1pNb3p/3p4/2P1B2P/5PP1/6K1 w - - 0 28,e3d4 e7c5 b6b8 c5f8
22957,3r1rk1/pbp1nppp/1p6/3Pp1PP/6qN/P4B2/1PPQ4/R2K3R b - - 5 23,d8d5 f3g4 d5d2 d1d2
22958,r4Q1k/ppp3pr/5R1B/4p3/1P2P3/2PP1P1q/P6P/RN5K b - - 0 22,a8f8 f6f8
22959,4r1k1/p1pQ1pp1/1pR1r3/1P5p/3P1q1P/P3p3/1B4R1/6K1 w - - 0 35,d4d5 e6e7 d7e8 e7e8
22960,3r1bk1/pP3pp1/1p1p3p/8/2r2P2/8/P5PP/2R2RBK b - - 1 26,c4c1 f1c1 d8b8 c1c7
22961,1k1q4/ppp5/4b2P/4p3/4P3/7P/6B1/5R1K b - - 0 37,d8d7 f1f8 d7c8 f8c8 b8c8 h6h7
22962,2r2nk1/4Rp1p/p5pP/1p1q4/3p1Q2/1P1B4/K4P2/8 b - - 0 29,c8c6 d3e4 d5e6 e7e6
22963,rn4k1/ppq2p2/1n1Pp1pQ/6N1/4P3/1PN5/5PP1/R4K2 b - - 0 21,c7c3 h6h7 g8f8 h7f7
22964,r4rk1/1bb2ppp/p1q1p3/4B2Q/Np3P2/1B1P4/PPP3PP/R4RK1 w - - 2 21,e5c7 c6g2
22965,r1r2k2/4pp1p/1PPp2p1/P7/2QN1P2/R3n1P1/1KR5/6q1 w - - 6 40,c4c3 e3d1 b2a2 d1c3
22966,2r3k1/1qr2pp1/4p2p/p7/1n1Q4/2N3P1/1P1RPP1P/5RK1 w - - 14 29,c3e4 c7c4 e4f6 g7f6
22967,2rqr1kb/4p2p/p2p2pB/5RN1/1p6/2N5/PPP3B1/2K2R2 b - - 0 24,g6f5 g2d5 e7e6 g5e6 g8f7 e6d8
22968,8/3k4/1p2p2p/p3K1p1/PP4P1/2P4P/8/8 w - - 1 36,b4a5 b6a5 c3c4 d7e7 c4c5 e7d7
22969,8/6pk/P4pp1/3Qr3/6P1/3P3P/7q/KRR5 w - - 1 39,d5d6 e5a5 d6a3 a5a3
22970,r3r1k1/5pbp/p1n3p1/q2p4/2pP1B2/2P2QP1/P1B2PKP/R3R3 b - - 2 23,c6d4 e1e8 a8e8 c3d4
22971,r4k2/4q2p/6pP/p4p2/1p1Q4/1P6/2P5/1K3R2 b - - 1 43,f8g8 d4d5 g8f8 d5a8
22972,1b6/8/1N2k1pp/r7/1p1BP3/7P/2R2PP1/6K1 w - - 0 38,c2b2 a5a1 b2b1 a1b1
22973,Qnk4r/Rp1r1pp1/1Pp4p/4p3/2B2q2/2P2N1P/5nP1/R5K1 b - - 5 28,f4e3 a8b8 c8b8 a7a8
22974,5rk1/5pp1/7p/QP4q1/P7/8/1r4PP/2R2RK1 w - - 1 28,a5c3 g5g2
22975,R7/1P3p2/4pkp1/3p4/3Pn3/2P4r/2K5/8 b - - 0 51,h3c3 c2b2 e4d6 b7b8q
22976,7k/4r2p/8/8/8/R1P5/p2K1PPP/2rR4 b - - 0 39,c1d1 d2d1 a2a1q a3a1
22977,8/2p2p2/3p1kp1/pp1P4/6P1/P1PP3P/1P6/4K3 w - - 1 34,d3d4 f6g5 e1f2 g5f4 b2b3 a5a4
22978,4r2k/5qpp/3R4/6Q1/2b5/4BP1P/1P4PK/8 w - - 1 37,d6d8 f7c7 e3f4 c7d8 g5d8 e8d8
22979,r3r1k1/p4pp1/2p1b1np/3p4/2qP4/1RP2N1P/2P2PPQ/R5K1 b - - 3 23,e8b8 b3b8 a8b8 h2b8
22980,5r2/1p3k2/pq2p3/3pP3/2b3Q1/4PBPp/7P/4R1K1 b - - 2 37,f7e7 g4g5 e7e8 f3h5 e8d7 g5g7 d7c6 g7f8
22981,5k2/6p1/P3p1bp/1p2P2N/5PK1/P1P2B2/3r1b2/4R3 w - - 0 53,a6a7 g6f5
22982,5rk1/p4pqp/1p3b2/2p5/2P4p/4NnP1/PP3PB1/R1Q4K w - - 2 24,g2f3 f6b2 e3f5 g7f6
22983,8/p1p2pk1/1n4rp/2q1pQ2/8/2P3P1/P4R1P/6K1 b - - 4 30,b6d5 f5f7 g7h8 f7g6
22984,5rk1/6p1/3qbp1p/4p3/3B4/1P1P3P/r1P1QPP1/2R1R1K1 b - - 0 24,e5d4 e2e6 d6e6 e1e6
22985,3r4/4kp1p/1p1R4/p1PPp2Q/4Pq2/1NP3r1/2K5/R7 b - - 6 31,d8d6 c5d6 e7d6 h5e2 g3f3 b3d2
22986,8/8/3k1ppp/1p6/1P1K1P1P/6P1/8/8 b - - 0 44,d6c6 h4h5 g6h5 d4e4 c6d6 e4f5 d6d5 f5f6
22987,8/2r2pp1/6kp/8/4P1P1/2KR3P/8/8 w - - 9 40,c3d4 c7d7 d4e3 d7d3 e3d3 g6g5
22988,8/8/1p1R4/p6p/4p1pk/1P5n/P5KP/8 w - - 0 41,d6e6 h3f4 g2f2 f4e6
22989,8/r2q1pNk/Prp2n2/4p1Bp/1PQpP2P/3P1P2/B4K2/1R6 b - - 0 42,h7g7 g5f6 g7f6 c4c1 f6g7 c1g5
22990,r3rk2/1ppR1pp1/4n2N/8/p5R1/2P3K1/qPQ5/8 b - - 5 37,g7h6 c2h7 a4a3 h7f7
22991,8/pp3r1k/4b1p1/3p2qp/8/1PN1P3/P3Q1PP/2R3K1 w - - 0 32,c1f1 f7f1 g1f1 g5f6 e2f3 f6c3
22992,2r4r/3qbp2/k1R4p/Pp2pp2/1P1Nn3/8/4Q1PP/R5K1 b - - 1 27,c8c6 e2b5 a6a7 d4c6 d7c6 b5c6
22993,8/8/p1p3p1/P1Pk2Pp/4N2P/5KB1/8/r7 w - - 5 47,g3c7 a1a3 f3e2 d5e4
22994,2r3k1/p3n1pp/2pR2p1/8/4P1P1/PB6/1q3r1P/R2Q3K b - - 2 27,g8f8 d6d8 c8d8 d1d8
22995,1k2r3/R7/1pp5/5Q2/2Pq1p2/3P1P1P/2P5/7K b - - 0 34,b8a7 f5f7 a7a6 f7e8
22996,3r2k1/5ppp/8/1R6/3Rn3/1P3N1P/1r3PP1/6K1 b - - 0 26,d8d4 b5b8 d4d8 b8d8
22997,8/p7/7p/4k3/P1P2p2/3K4/7P/8 w - - 0 44,c4c5 e5d5 c5c6 d5c6
22998,3r2k1/2q2p1p/p1n3p1/1p1P4/5R2/6PB/PP5P/3Q2K1 b - - 0 24,c6b4 f4b4 c7c5 d1d4 d8d5 d4c5
22999,r2r2k1/p4p1p/2p1bQ2/5p2/5N2/q2B4/P1P3PP/R6K b - - 7 22,d8d6 f4h5 g8f8 f6h8 f8e7 h8a8
23000,8/8/3kp2p/5p2/3PKP1P/8/8/8 w - - 0 43,e4e3 d6d5 h4h5 d5c4
23001,5r2/pp3pk1/6p1/3Np1qp/PP1nQ3/8/6PP/5R1K b - - 6 34,f7f5 e4e5 g7h6 e5d4
23002,4r1k1/p4p2/3P2pB/2Rb4/5K2/5N1P/P4PP1/7r b - - 0 27,h1d1 d6d7 e8e4 f4g3
23003,8/p4q1k/2p4p/2P2p1b/P2PpP2/4P1QP/7K/6R1 w - - 0 38,g1b1 f7a2 g3g2 a2b1
23004,5r2/4r1k1/3p1b1p/2q3pB/p4p2/P3p2R/1P4PP/1Q1R3K b - - 1 44,c5e5 b1g6 g7h8 h5e2
23005,4r3/PK6/6pp/8/7P/4p3/3k2P1/2R5 w - - 7 50,c1a1 e3e2 a7a8r e8a8 a1a8 e2e1q
23006,8/6kp/8/6p1/Q3PqK1/5P2/8/8 w - - 1 46,g4h5 f4h4
23007,3r2k1/ppp2pp1/3n2b1/3P2Np/5q1P/1B3P2/PP2RBK1/7R b - - 4 30,f7f6 g5e6 f4b4 e6d8
23008,r7/5pk1/6pp/1p1NP3/nP2QP2/1qP2K1P/5RP1/8 w - - 7 38,f2c2 a8d8 d5e3 a4c3 c2c3 b3c3
23009,1b4k1/1p4pp/p2q2r1/8/P1pP4/2P2P2/1P1Q2RP/5RK1 w - - 3 27,f1f2 d6h2 g1f1 h2h1
23010,r4rk1/1pq3n1/p3pn2/3p1PN1/3P4/P1NQ4/1PP2P2/6RK b - - 0 22,e6f5 g5e6 c7f7 g1g7 f7g7 e6g7
23011,5r1k/p3q3/1p4Rp/2pB1p2/5P1b/2P4P/PP5K/5Q2 b - - 13 33,f8f6 g6g8 h8h7 f1g2 h4g5 f4g5
23012,8/p7/2P1p3/r7/P2P4/3K4/5kp1/R7 b - - 0 50,g2g1q a1g1 f2g1 c6c7 a5g5 c7c8q
23013,R5Q1/1r3p1p/4p1k1/3pP3/4q3/6PK/1p3P1P/8 b - - 3 42,g6f5 f2f4 e4f4 g8h7 f5e5 g3f4
23014,2n5/pk4q1/1pp5/4pp1Q/6r1/P5P1/1PP2B2/1K1R4 b - - 4 37,g7g6 d1d7 b7b8 h5h8 g6e6 h8d8 e6d7 d8d7
23015,2R1kb1r/8/4p2p/3pP1p1/6P1/2N3KP/P1r5/5R2 b - - 2 28,e8e7 c3d5 e6d5 c8c2
23016,1Rr3k1/5ppp/2q1p3/p2p4/P1P5/6Q1/5PPP/2n3K1 b - - 0 23,c8b8 g3b8 c6c8 b8c8
23017,rnbqkbnr/pp3p2/3p2p1/2pNp2p/4P2P/2N5/PPPP1PP1/R1BQKB1R b KQkq - 1 6,g8e7 d5f6
23018,rr4k1/4pp1p/p5p1/R1p1P3/8/4PK2/2P3PP/R7 b - - 4 28,b8b5 a5b5 a6b5 a1a8
23019,4r3/4rp2/1p5p/pP1p2k1/P2P4/5PP1/2RR1K2/8 w - - 0 40,d2e2 e7e2 c2e2 e8e2
23020,7r/1p6/p1p1k3/2P1p3/1P1pP1P1/5N1P/P3K3/8 b - - 2 42,h8h3 f3g5 e6d7 g5h3
23021,r3r1k1/2q2ppp/b3p3/p3N1P1/1P2pP2/4P3/PP4QP/3R1RK1 w - - 1 24,d1d7 a6f1 d7c7 f1g2
23022,7k/6p1/pBp5/1p2p3/1P2P3/P2r4/5PPP/4R1K1 w - - 3 31,e1e3 d3d1 e3e1 d1e1
